year,sample_id,zoop_id,program,lake_name,lake_id,depth,doy,year_frac,secchi_m,secchi_flag,tss_mgL,tss_flag,vss_mgL,vss_flag,iss_mgL,iss_flag,tp_ugL,tp_flag,srp_ugL,srp_flag,tn_mgL,tn_flag,nox_mgL,nox_flag,chl_ugL,chl_flag,phyco_ugL,phyco_flag
2018,A18012134004,A18012134004,ALM,Blue,12,Epi,134,2018.367123,0.5,,33,,23,,10,,128.8,,2.9,a,1.3,,0.02,a,14,,3.5,a
2018,A18012176003,A18012176003,ALM,Blue,12,Epi,176,2018.482192,0.4,,22,,11,,11,,107.1,,2.9,a,1.16,,0.02,a,23,,23,
2018,A18012225010,A18012225010,ALM,Blue,12,Epi,225,2018.616438,0.3,,42,,27,,15,,151,,2.9,a,1.62,,0.02,a,105,,57,
2018,A18019150001,A18019150001,ALM,Center,19,Epi,150,2018.411,1.5,,7,,6.5,,0.5,,49.9,,5.9,,1.4,,0.02,a,3,,19,
2018,A18019198001,A18019198001,ALM,Center,19,Epi,198,2018.542,0.6,,8,,8,,0,a,48.4,,2.9,a,1.8,,0.02,a,29,,49,
2018,A18019246013,A18019246013,ALM,Center,19,Epi,246,2018.674,0.5,,95,,17,,78,,85.7,,2.9,a,1.3,,0.02,a,79,,86,
2018,A18036151003,A18036151003,ALM,Five Island,36,Epi,151,2018.414,2.2,,22.5,,16,,6.5,,76.2,,2.9,a,5.4,,3.3,,13,,10,
2018,A18036198007,A18036198007,ALM,Five Island,36,Epi,198,2018.542,0.4,,30,,21,,9,,99.8,,2.9,a,2.4,,0.7,,58,,114,
2018,A18036248002,A18036248002,ALM,Five Island,36,Epi,248,2018.679,0.4,,32,,17,,15,,153,,2.9,a,1.2,,0.1,,91,,200,
2018,A18090134010,A18090134010,ALM,North Twin,90,Epi,134,2018.367,0.5,,20,,11,,9,,74.6,,7.3,,2.9,,0.4,,115,,12,
2018,A18090177003,A18090177003,ALM,North Twin,90,Epi,177,2018.485,0.4,,13,,10,,3,,101.4,,2.9,a,2.4,,0.3,,38,,108,
2018,A18090226003,A18090226003,ALM,North Twin,90,Epi,226,2018.619,0.4,,25,,23,,2,,69.9,,2.9,a,1.6,,0.02,a,113,,248,
2018,A18105151005,A18105151005,ALM,Silver,105,Epi,151,2018.414,2,,9,,6,,3,,36.3,,49.3,,2.6,,1.5,,3,,30,
2018,A18105197009,A18105197009,ALM,Silver,105,Epi,197,2018.54,0.9,,15.5,,13,,2.5,,142,,65.9,,2.7,,1.6,,12,,68,
2018,A18105246003,A18105246003,ALM,Silver,105,Epi,246,2018.674,1.1,,7,,5,,2,,329.1,,238.2,,0.9,,0.1,,8,,3.5,a
2018,A18113134012,A18113134012,ALM,Storm,113,Epi,134,2018.367,0.9,,12,,10,,2,,34.3,,2.9,a,0.9,,0.3,,9,,3.5,a
2018,A18113176011,A18113176011,ALM,Storm,113,Epi,176,2018.482,0.7,,19,,9.5,,9.5,,66.5,,2.9,a,0.7,,0.2,,4,,8,
2018,A18113225001,A18113225001,ALM,Storm,113,Epi,225,2018.616,0.5,,15,,5,,10,,91.1,,25.3,,0.2,,0.02,a,5,,47,
2018,P1801224301E,P18012243,Carp,Blue,12,Epi,243,2018.665753,NA,m,NA,m,NA,m,NA,m,74.8,,6.5,,3,,NA,m,15.3,,31.2,
2018,P1801913501E,P18019135,Carp,Center,19,Epi,135,2018.369863,1.2,,20,,7,,13,,38.1,,2.9,a,1.1,,0.3,,11.6,,3.5,a
2018,P1801915001E,P18019150,Carp,Center,19,Epi,150,2018.410959,1.8,,16,,6,,10,,18.9,,4.5,,6.1,,0.2,,8.7,,3.5,a
2018,P1801916301E,P18019163,Carp,Center,19,Epi,163,2018.446575,1.5,,2,,2,,0,a,20.5,,2.9,a,12.1,,0.2,,3.4,,37.6,
2018,P1801917801E,P18019178,Carp,Center,19,Epi,178,2018.487671,0.7,,4,,3,,1,,47.6,,2.9,a,1.7,,0.2,,27.7,,51.2,
2018,P1901919201E,P19019192,Carp,Center,19,Epi,192,2018.526027,0.4,,28,,24,,4,,50.4,,2.9,a,1.7,,0.1,,36.6,,63,
2018,P1801920601E,P18019206,Carp,Center,19,Epi,206,2018.564384,0.7,,19,,19,,0,a,45,,5.4,,1.5,,0.1,,20,,54.7,
2018,P1801921901E,P18019219,Carp,Center,19,Epi,219,2018.6,0.6,,27,,9,,18,,62.2,,2.9,a,1.6,,0.1,,29.6,,68.3,
2018,P1803613501E,P18036135,Carp,Five Island,36,Epi,135,2018.369863,1.5,,17,,5,,12,,39.8,,2.9,a,3.9,,2.7,,4,,3.5,a
2018,P1803615001E,P18036150,Carp,Five Island,36,Epi,150,2018.410959,0.6,,20,,14,,6,,90.6,,4.9,,8,,3.4,,43.1,,3.5,a
2018,P1803616301E,P18036163,Carp,Five Island,36,Epi,163,2018.446575,0.3,,39,,30,,9,,126.2,,4.4,,6.2,,2.4,,21.2,,112.5,
2018,P1803617801E,P18036178,Carp,Five Island,36,Epi,178,2018.487671,0.3,,34,,24,,10,,234.6,,9.3,,4.7,,2.1,,75.3,,43.3,
2018,P1803619301E,P18036193,Carp,Five Island,36,Epi,193,2018.528767,0.5,,25,,15,,10,,79.1,,2.9,a,3.5,,1.5,,42.4,,49.7,
2018,P1803620501E,P18036205,Carp,Five Island,36,Epi,205,2018.561644,0.2,,56,,37,,19,,171.9,,4.7,,3,,0.2,,109.5,,296.8,
2018,P1803621901E,P18036219,Carp,Five Island,36,Epi,219,2018.6,0.3,,16,,10,,6,,119.1,,6.7,,1.9,,0.02,a,42.8,,229.5,
2018,P1809013001E,P18090130,Carp,North Twin,90,Epi,130,2018.356164,0.4,,11,,11,,0,a,72.2,,2.9,a,2.5,,1.2,,77,,3.5,a
2018,P1809014401E,P18090144,Carp,North Twin,90,Epi,144,2018.394521,0.5,,19,,4,,15,,69.3,,5.4,,3.7,,1.8,,33.6,,3.5,a
2018,P1809015801E,P18090158,Carp,North Twin,90,Epi,158,2018.432877,0.5,,11,,11,,0,a,61,,2.9,a,3.6,,0.2,,34.4,,3.5,a
2018,P1809017101E,P18090171,Carp,North Twin,90,Epi,171,2018.468493,0.4,,10,,8,,2,,83.2,,5.4,,2.7,,0.4,,29.4,,54.6,
2018,P1809018301E,P18090183,Carp,North Twin,90,Epi,183,2018.50137,0.3,,31,,20,,11,,70.5,,4.3,,2.5,,0.3,,50.8,,264.5,
2018,P1809019701E,P18090197,Carp,North Twin,90,Epi,197,2018.539726,0.3,,27,,27,,0,a,65.9,,4.1,,2.5,,0.3,,58.9,,157.2,
2018,P1809021301E,P18090213,Carp,North Twin,90,Epi,213,2018.583562,0.4,,20,,20,,0,a,73.4,,2.9,a,2.3,,0.1,,56.7,,342.8,
2018,P1810513601E,P18105136,Carp,Silver,105,Epi,136,2018.372603,2.8,,2,,2,,0,a,64.9,,49.4,,4,,2.9,,0.2,a,3.5,a
2018,P1810515101E,P18105151,Carp,Silver,105,Epi,151,2018.413699,2.6,,10,,6,,4,,55.1,,49,,4.8,,2.9,,1.9,,3.5,a
2018,P1810516401E,P18105164,Carp,Silver,105,Epi,164,2018.449315,0.7,,11,,7,,4,,103.1,,27.6,,15.6,,1.6,,9.4,,42.2,
2018,P1810517801E,P18105178,Carp,Silver,105,Epi,178,2018.487671,0.5,,13,,5,,8,,206.4,,142.1,,4,,2.8,,6.6,,43.2,
2018,P1810519201E,P18105192,Carp,Silver,105,Epi,192,2018.526027,0.6,,11,,7,,4,,160.7,,99,,3.1,,2.1,,15.1,,115.7,
2018,P1810520501E,P18105205,Carp,Silver,105,Epi,205,2018.561644,0.4,,18,,13,,5,,163.7,,56.6,,2.7,,0.6,,49.8,,209.8,
2018,P1810522001E,P18105220,Carp,Silver,105,Epi,220,2018.60274,1,,NA,m,NA,m,NA,m,225.6,,151.3,,1.7,,0.1,,18.9,,41.9,
2018,P1811313601E,P18113136,Carp,Storm,113,Epi,136,2018.372603,1.6,,1,,1,,0,a,18.1,,2.9,a,0.8,,0.5,,0.5,,3.5,a
2018,P1811315101E,P18113151,Carp,Storm,113,Epi,151,2018.413699,1.4,,7,,7,,0,a,21.5,,6.2,,4.7,,0.4,,0.4,,3.5,a
2018,P1811316401E,P18113164,Carp,Storm,113,Epi,164,2018.449315,0.7,,0,a,0,a,0,a,36.6,,3.7,,8.7,,0.2,,10,,31.2,
2018,P1811317901E,P18113179,Carp,Storm,113,Epi,179,2018.490411,0.5,,12,,6,,6,,68.2,,19.3,,0.9,,0.02,a,3.6,,241.7,
2018,P1811319201E,P18113192,Carp,Storm,113,Epi,192,2018.526027,0.4,,13,,11,,2,,57.2,,11.1,,0.7,,0.02,a,6.2,,35.3,
2018,P1811320601E,P18113206,Carp,Storm,113,Epi,206,2018.564384,0.4,,22,,11,,11,,79.5,,22.5,,0.7,,0.02,a,3.8,,99.1,
2018,P1811322001E,P18113220,Carp,Storm,113,Epi,220,2018.60274,0.4,,16,,16,,0,a,76.8,,28.6,,0.7,,0.02,a,5.8,,48.9,
2018,P1840613001E,P18406130,Carp,South Twin,406,Epi,130,2018.356164,0.2,,72,,45,,27,,216.8,,2.9,a,2.6,,0.3,,45,,3.5,a
2018,P1840614401E,P18406144,Carp,South Twin,406,Epi,144,2018.394521,0.1,,90,,22,,68,,238.3,,5.1,,4.2,,0.3,,36,,3.5,a
2018,P1840615801E,P18406158,Carp,South Twin,406,Epi,158,2018.432877,0.3,,61,,44,,17,,176.8,,2.9,a,6.3,,0.2,,37,,3.5,a
2018,P1840617101E,P18406171,Carp,South Twin,406,Epi,171,2018.468493,0.2,,79,,41,,38,,215.3,,2.9,a,2.7,,0.2,,52.9,,87.3,
2018,P1840618401E,P18406184,Carp,South Twin,406,Epi,184,2018.50411,0.2,,56,,42,,14,,178.7,,2.9,a,2.4,,0.1,,31.4,,46.3,
2018,P1840619701E,P18406197,Carp,South Twin,406,Epi,197,2018.539726,0.2,,62,,46,,16,,140.4,,2.9,a,2.2,,0.1,,40.6,,56.4,
2018,P1840621101E,P18406211,Carp,South Twin,406,Epi,211,2018.578082,0.2,,60,,40,,20,,154.7,,8.8,,2.6,,0.1,,43.6,,163.5,
2018,P1801224301H,P18012243,Carp,Blue,12,Hypo,243,2018.665753,NA,m,NA,m,NA,m,NA,m,77.6,,19.7,,3,,NA,m,NA,m,NA,m
2018,P1801913501H,P18019135,Carp,Center,19,Hypo,135,2018.369863,NA,m,13,,9,,4,,54.9,,2.9,a,NA,m,NA,m,NA,m,NA,m
2018,P1801915001H,P18019150,Carp,Center,19,Hypo,150,2018.410959,NA,m,4,,4,,0,a,37.7,,4.9,,NA,m,NA,m,NA,m,NA,m
2018,P1801916301H,P18019163,Carp,Center,19,Hypo,163,2018.446575,NA,m,10,,10,,0,a,31.7,,2.9,a,NA,m,NA,m,NA,m,NA,m
2018,P1801917801H,P18019178,Carp,Center,19,Hypo,178,2018.487671,NA,m,NA,m,NA,m,NA,m,245.6,,4,,NA,m,NA,m,NA,m,NA,m
2018,P1801919201H,P18019192,Carp,Center,19,Hypo,192,2018.526027,NA,m,18,,11,,7,,48.8,,2.9,a,NA,m,NA,m,NA,m,NA,m
2018,P1801920601H,P18019206,Carp,Center,19,Hypo,206,2018.564384,NA,m,22,,16,,6,,62.9,,3,,NA,m,NA,m,NA,m,NA,m
