year,lake_name,lake_id,transect,transect_id,lat,long,depth_m,substrate,rake_total,species_richness,emergent_richness,submersed_richness,floating_richness,typha_angustifolia,sagittaria_latifolia,schenoplectus_tabernaemontani,sparganium_spp,ceratophyllum_demersum,chara_spp,najas_flexilis,potamogeton_crispus,potamogeton_foliosus,potamogeton_nodosus,stuckenia_pectinata,lemna_spp,persicaria_amphibia
2018,Center,19,1,180,43.41285,-95.140933,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,1,180,43.41285,-95.140933,0.61,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,1,180,43.41285,-95.140933,1.22,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,1,180,43.41285,-95.140933,1.83,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,2,166,43.412867,-95.14275,0,Sand,0,3,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2018,Center,19,2,166,43.412867,-95.14275,0.61,Sand,2,3,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0
2018,Center,19,2,166,43.412867,-95.14275,1.22,Muck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,2,166,43.412867,-95.14275,1.83,Muck,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
2018,Center,19,2,166,43.412867,-95.14275,2.44,Muck,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2018,Center,19,3,167,43.410917,-95.143033,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,3,167,43.410917,-95.143033,0.61,Rock,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2018,Center,19,3,167,43.410917,-95.143033,1.22,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,3,167,43.410917,-95.143033,1.83,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,3,167,43.410917,-95.143033,2.44,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,4,168,43.409317,-95.143533,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,4,168,43.409317,-95.143533,0.61,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,4,168,43.409317,-95.143533,1.22,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,4,168,43.409317,-95.143533,1.83,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,4,168,43.409317,-95.143533,2.44,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,5,169,43.407267,-95.14125,0,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,5,169,43.407267,-95.14125,0.61,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,5,169,43.407267,-95.14125,1.22,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,5,169,43.407267,-95.14125,1.83,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,5,169,43.407267,-95.14125,2.44,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,6,170,43.408483,-95.1369,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,6,170,43.408483,-95.1369,0.61,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,6,170,43.408483,-95.1369,1.22,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,6,170,43.408483,-95.1369,1.83,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,7,171,43.4081,-95.13425,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,7,171,43.4081,-95.13425,0.61,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,7,171,43.4081,-95.13425,1.22,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,7,171,43.4081,-95.13425,1.83,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,8,172,43.408717,-95.13215,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,8,172,43.408717,-95.13215,0.61,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,8,172,43.408717,-95.13215,1.22,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,8,172,43.408717,-95.13215,1.83,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,9,173,43.410983,-95.1307,0,Rock,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,9,173,43.410983,-95.1307,0.61,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,9,173,43.410983,-95.1307,1.22,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,9,173,43.410983,-95.1307,1.83,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,10,174,43.413083,-95.128767,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,10,174,43.413083,-95.128767,0.61,Rock,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2018,Center,19,10,174,43.413083,-95.128767,1.22,Rock,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2018,Center,19,10,174,43.413083,-95.128767,1.83,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,11,175,43.41495,-95.129417,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,11,175,43.41495,-95.129417,0.61,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,11,175,43.41495,-95.129417,1.22,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,11,175,43.41495,-95.129417,1.83,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,12,176,43.41615,-95.131367,0,Rock,0,3,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
2018,Center,19,12,176,43.41615,-95.131367,0.61,Rock,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2018,Center,19,12,176,43.41615,-95.131367,1.22,Rock,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2018,Center,19,12,176,43.41615,-95.131367,1.83,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,13,177,43.416133,-95.133267,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,13,177,43.416133,-95.133267,0.61,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,13,177,43.416133,-95.133267,1.22,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,13,177,43.416133,-95.133267,1.83,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,14,178,43.416433,-95.1371,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,14,178,43.416433,-95.1371,0.61,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,14,178,43.416433,-95.1371,1.22,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,14,178,43.416433,-95.1371,1.83,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,15,179,43.415033,-95.14015,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Center,19,15,179,43.415033,-95.14015,0.61,Rock,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2018,Center,19,15,179,43.415033,-95.14015,1.22,Rock,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2018,Center,19,15,179,43.415033,-95.14015,1.83,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,1,180,43.41285,-95.140933,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,1,180,43.41285,-95.140933,0.61,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,1,180,43.41285,-95.140933,1.22,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,1,180,43.41285,-95.140933,1.83,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,1,180,43.41285,-95.140933,2.44,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,2,166,43.412867,-95.14275,0,Rock,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,2,166,43.412867,-95.14275,0.61,Rock,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,Center,19,2,166,43.412867,-95.14275,1.22,Rock,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,Center,19,2,166,43.412867,-95.14275,1.83,Muck,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,Center,19,2,166,43.412867,-95.14275,2.44,Muck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,3,167,43.410917,-95.143033,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,3,167,43.410917,-95.143033,0.61,Sand,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,3,167,43.410917,-95.143033,1.22,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,3,167,43.410917,-95.143033,1.83,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,3,167,43.410917,-95.143033,2.44,Muck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,4,168,43.409317,-95.143533,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,4,168,43.409317,-95.143533,0.61,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,4,168,43.409317,-95.143533,1.22,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,4,168,43.409317,-95.143533,1.83,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,4,168,43.409317,-95.143533,2.44,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,5,169,43.407267,-95.14125,0,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,5,169,43.407267,-95.14125,0.61,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,5,169,43.407267,-95.14125,1.22,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,5,169,43.407267,-95.14125,1.83,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,5,169,43.407267,-95.14125,2.44,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,6,170,43.408483,-95.1369,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,6,170,43.408483,-95.1369,0.61,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,6,170,43.408483,-95.1369,1.22,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,6,170,43.408483,-95.1369,1.83,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,6,170,43.408483,-95.1369,2.44,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,7,171,43.4081,-95.13425,0,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,7,171,43.4081,-95.13425,0.61,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,7,171,43.4081,-95.13425,1.22,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,7,171,43.4081,-95.13425,1.83,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,7,171,43.4081,-95.13425,2.44,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,8,172,43.408717,-95.13215,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,8,172,43.408717,-95.13215,0.61,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,8,172,43.408717,-95.13215,1.22,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,8,172,43.408717,-95.13215,1.83,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,8,172,43.408717,-95.13215,2.44,Muck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,9,173,43.410983,-95.1307,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,9,173,43.410983,-95.1307,0.61,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,9,173,43.410983,-95.1307,1.22,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,9,173,43.410983,-95.1307,1.83,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,9,173,43.410983,-95.1307,2.44,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,10,174,43.413083,-95.128767,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,10,174,43.413083,-95.128767,0.61,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,10,174,43.413083,-95.128767,1.22,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,10,174,43.413083,-95.128767,1.83,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,10,174,43.413083,-95.128767,2.44,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,11,175,43.41495,-95.129417,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,11,175,43.41495,-95.129417,0.61,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,11,175,43.41495,-95.129417,1.22,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,11,175,43.41495,-95.129417,1.83,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,11,175,43.41495,-95.129417,2.44,Muck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,12,176,43.41615,-95.131367,0,Rock,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,12,176,43.41615,-95.131367,0.61,Rock,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,Center,19,12,176,43.41615,-95.131367,1.22,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,12,176,43.41615,-95.131367,1.83,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,12,176,43.41615,-95.131367,2.44,Sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,13,177,43.416133,-95.133267,0,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,13,177,43.416133,-95.133267,0.61,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Center,19,13,177,43.416133,-95.133267,1.22,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
