lakeID,lakeName,County,siteID,latitude,longitude,surfaceArea_km2,maxDepth_m,meanDepth_m,volume_m3,watershedArea_km2
1,Arbor Lake,Poweshiek,22790004,41.73170603,-92.73296339,0.05,5.85,2.1,114220.248,3.96
2,Arrowhead Pond,Pottawattamie,22780002,41.43590824,-95.59291005,0.06,6.71,1.86,106202.628,4.19
3,Arrowhead Lake,Sac,22810001,42.29727915,-95.05121206,0.07,4.88,2.96,428017.56,0.6
4,Avenue of the Saints Pond,Bremer,22090001,42.70550988,-92.53683061,0.17,4.88,2.38,410748.84,
5,Badger Creek Lake,Madison,22610004,41.46979313,-93.91078078,1.12,7.62,2.07,2280704.52,47.14
6,Badger Lake,Webster,22940001,42.58629206,-94.19248929,0.18,4.57,1.95,413215.8,35.01
7,Beaver Lake,Dallas,22250001,41.53250936,-94.21242915,0.13,15.85,2.74,378678.36,4.15
8,Beeds Lake,Franklin,22350001,42.7704293,-93.23654474,0.36,7.59,2.83,1032176.064,76.75
9,Big Creek Lake,Polk,22770004,41.7939504,-93.73184516,3.3,16.28,5.85,18314711.04,196.38
10,Big Spirit Lake,Dickinson,22300014,43.47957253,-95.08384665,23,7.32,4.85,105249641.4,139.5
11,Black Hawk Lake,Sac,22810002,42.29636764,-95.02905654,2.95,4.6,1.82,5535488.196,49.61
12,Blue Lake,Monona,22670002,42.04415792,-96.15928042,1.1,3.57,1.68,1850836.74,6.43
13,Bob White Lake,Wayne,22930001,40.71798936,-93.40025303,0.39,4.27,1.37,531629.88,14.2
14,Briggs Woods Lake,Hamilton,22400004,42.43254824,-93.79825292,0.24,9.14,3.32,846537.324,27.23
15,Browns Lake,Woodbury,22970001,42.30855062,-96.3245431,2.35,3.05,0.82,1865638.5,4.21
16,Brushy Creek Lake,Webster,22940002,42.38857979,-93.97856662,2.79,22.86,8.02,22707996.76,228.08
17,Carter Lake,Pottawattamie,22780001,41.28936895,-95.90476166,1.27,8.53,2.26,3076545.816,47.07
18,Casey Lake,Tama,22860001,42.26493565,-92.31130519,0.15,6.71,2.26,342537.396,2.99
19,Center Lake,Dickinson,22300010,43.41273029,-95.13631762,0.89,5.46,3.72,3862889.316,3.01
20,Central Park Lake,Jones,22530001,42.11243694,-91.13731571,0.1,5.15,2.28,218449.31,
