Lake,Date,Time,Depth (m),Temperature (Deg C),pH,DO (% Saturation),DO (mg/L),Specific Conductivity (uS/cm),Turbidity (NTU),TDS (mg/L)
(1) Arbor Lake (Poweshiek),6/12/18,8:28,0,23.61200717,7.961290323,144.5,12.24322581,472.4467742,6.589166667,307.0967742
(1) Arbor Lake (Poweshiek),6/12/18,8:28,1,24.38888889,8.277272727,158.6515152,13.23424242,629.1242424,9.735652174,408.9090909
(1) Arbor Lake (Poweshiek),6/12/18,8:28,1.5,22.93055556,7.8275,122.425,10.419375,651.33125,9.931904762,423.375
(1) Arbor Lake (Poweshiek),6/12/18,8:28,2.5,17.50308642,7.445,62.86111111,5.906944444,819.6888889,9.945833333,532.75
(1) Arbor Lake (Poweshiek),6/12/18,8:28,3,13.3047138,7.16969697,34.15151515,3.543030303,1005.057576,8.861111111,653.1818182
(1) Arbor Lake (Poweshiek),6/12/18,8:28,4,11.12745098,7.047058824,26.81764706,2.921176471,1174.623529,8.395,763.5882353
(1) Arbor Lake (Poweshiek),6/12/18,8:28,4.5,10.09143519,6.9,21.9875,2.465416667,1254.910417,9.002682927,815.7083333
(10) Big Spirit Lake (Dickinson),5/30/18 12:08,12:08,0,22.12698413,8.166428571,124.4571429,10.84857143,341.2571429,,221.8571429
(10) Big Spirit Lake (Dickinson),5/30/18 12:08,12:08,1,22.33333333,8.36,127.4,11.05333333,432.1,,281
(10) Big Spirit Lake (Dickinson),5/30/18 12:08,12:08,1.5,22.33333333,8.382,127.76,11.084,432.06,,281
(10) Big Spirit Lake (Dickinson),5/30/18 12:08,12:08,2,22.30864198,8.411111111,128.5333333,11.15777778,432.2,,281
(10) Big Spirit Lake (Dickinson),5/30/18 12:08,12:08,3,22.19444444,8.4475,128.7,11.1925,432.35,,281
(10) Big Spirit Lake (Dickinson),5/30/18 12:08,12:08,3.5,22,8.458,124.72,10.886,432.64,,281
(10) Big Spirit Lake (Dickinson),5/30/18 12:08,12:08,4,21.31111111,8.456,117.88,10.422,435.32,,283
(10) Big Spirit Lake (Dickinson),5/30/18 12:08,12:08,5,19.15555556,8.328,105.62,9.742,449.62,,292.4
