Lake,Date,Time,Depth (m),Temperature (Deg C),pH,DO (% Saturation),DO (mg/L),Specific Conductivity (uS/cm),Turbidity (NTU),TDS (mg/L)
(1) Arbor Lake (Poweshiek),7/31/2018,14:05,0,27.82828283,8.498181818,134.8818182,10.57272727,473.1727273,12.93363636,307.5454545
(1) Arbor Lake (Poweshiek),7/31/2018,14:05,1,25.51515152,8.141818182,107.7454545,8.789090909,485.2454545,12.42909091,315.4545455
(1) Arbor Lake (Poweshiek),7/31/2018,14:05,1.5,24.93939394,7.706363636,50.39090909,4.162727273,483.7090909,12.01090909,314.3636364
(1) Arbor Lake (Poweshiek),7/31/2018,14:05,2.5,24.63194444,7.58625,40.15,3.335,488.9625,11.92875,317.875
(1) Arbor Lake (Poweshiek),7/31/2018,14:05,3,23.91005291,7.415714286,26.65714286,2.232380952,516.5,13.74809524,335.6666667
(1) Arbor Lake (Poweshiek),7/31/2018,14:05,3.5,19.96666667,6.94,12.12,1.092,814.32,14.172,529.2
(1) Arbor Lake (Poweshiek),7/31/2018,14:05,4,17.47777778,6.756,10.72,1.018,1105.22,15.118,718.8
(1) Arbor Lake (Poweshiek),7/31/2018,14:05,4.5,14.29012346,6.545555556,8.233333333,0.836666667,1481.633333,21.60777778,963
(2) Arrowhead Pond (Pottawattamie),7/23/2018,14:30,0,28.06111111,8.501333333,165.5433333,12.92533333,389.8866667,6.87,253.5
(2) Arrowhead Pond (Pottawattamie),7/23/2018,14:30,0.5,27.16049383,8.098333333,147.7333333,11.71722222,439.4388889,8.891666667,285.6111111
(2) Arrowhead Pond (Pottawattamie),7/23/2018,14:30,1,26.53703704,7.502,68.84,5.518666667,457.1333333,7.358666667,297.2
(2) Arrowhead Pond (Pottawattamie),7/23/2018,14:30,1.5,26.23202614,7.337647059,35.45294118,2.860588235,468.3235294,6.764705882,304.4117647
(2) Arrowhead Pond (Pottawattamie),7/23/2018,14:30,2,25.93567251,7.182631579,13.60526316,1.103684211,476.5526316,6.379473684,309.8421053
(2) Arrowhead Pond (Pottawattamie),7/23/2018,14:30,2.5,23.95833333,6.865625,7.2,0.60375,519.2,8.703125,337.375
(2) Arrowhead Pond (Pottawattamie),7/23/2018,14:30,3,21.72222222,6.578,5.193333333,0.455333333,592.2,12.90133333,384.9333333
(2) Arrowhead Pond (Pottawattamie),7/23/2018,14:30,3.5,20.98611111,6.4825,4.65,0.415,684.95,25.2,445.25
(3) Arrowhead Lake (Sac),6/26/2018,8:18,0,23.94444444,8.095,78.74666667,6.628333333,486.6466667,,316.3
(3) Arrowhead Lake (Sac),6/26/2018,8:18,1,23.94444444,8.1,79.36,6.678,490.72,,319
(3) Arrowhead Lake (Sac),6/26/2018,8:18,1.5,24.02314815,8.100277778,80.18611111,6.740555556,492.1305556,,319.6388889
(3) Arrowhead Lake (Sac),6/26/2018,8:18,2,24.05555556,8.11,80.91111111,6.797777778,492.9,,320
(3) Arrowhead Lake (Sac),6/26/2018,8:18,2.5,24.05555556,8.11,81.075,6.81,492.9,,320
(3) Arrowhead Lake (Sac),6/26/2018,8:18,3,24.05555556,8.11,81.1625,6.819375,493.0125,,320.25
(3) Arrowhead Lake (Sac),6/26/2018,8:18,3.5,24.04320988,8.105185185,79.7037037,6.696296296,493.6518519,,321
(3) Arrowhead Lake (Sac),6/26/2018,8:18,4.5,23.49853801,7.941052632,55.55789474,4.693157895,501.6,,326.0526316
(3) Arrowhead Lake (Sac),6/26/2018,8:18,5,19.31439394,7.66,20.24772727,1.853409091,545.6954545,,354.6818182
(3) Arrowhead Lake (Sac),6/26/2018,8:18,5.5,18.88813814,7.520472973,11.41486486,1.05972973,549.3121622,,357.1283784
(4) Avenue of the Saints Pond (Bremer),8/7/2018,10:02,0,24.03240741,9.5625,126.3666667,10.63083333,241.0583333,49.35666667,156.75
(4) Avenue of the Saints Pond (Bremer),8/7/2018,10:02,1,24.03968254,9.371428571,114.7571429,9.648571429,241.4714286,34.51285714,157
(4) Avenue of the Saints Pond (Bremer),8/7/2018,10:02,1.5,23.77777778,9.147142857,73.63571429,6.218571429,242.3214286,25.87785714,157.5
(4) Avenue of the Saints Pond (Bremer),8/7/2018,10:02,2.5,23.53968254,8.991428571,52.11428571,4.422857143,243.1714286,25.23142857,158
(4) Avenue of the Saints Pond (Bremer),8/7/2018,10:02,3,23.44444444,8.777777778,37.16666667,3.157777778,245.0666667,23.36888889,159.3333333
(4) Avenue of the Saints Pond (Bremer),8/7/2018,10:02,3.5,23.29166667,8.25,21.2375,1.80875,249.6625,32.78875,162.375
(4) Avenue of the Saints Pond (Bremer),8/7/2018,10:02,4,23.11111111,7.55,15.2,1.3,257.9,36.92,168
(4) Avenue of the Saints Pond (Bremer),8/7/2018,10:02,4.5,22.91666667,7.33,14.175,1.2175,267.525,46.0175,174
(5) Badger Creek Lake (Madison),7/10/2018,14:15,0,31.14417989,8.82,180.1761905,13.33928571,160.4,,104.3809524
(5) Badger Creek Lake (Madison),7/10/2018,14:15,1,28.50252525,9.111590909,202.4704545,15.68340909,230.925,,150.1136364
(5) Badger Creek Lake (Madison),7/10/2018,14:15,1.5,26.34126984,8.566190476,132.8047619,10.61714286,269.1809524,,175
(5) Badger Creek Lake (Madison),7/10/2018,14:15,2,25.5,8.33,82.7,6.75,299.8,,195
(5) Badger Creek Lake (Madison),7/10/2018,14:15,2.5,24.68637993,8.08483871,52.06129032,4.305806452,302.5193548,,196.483871
(5) Badger Creek Lake (Madison),7/10/2018,14:15,3,23.41602067,7.765116279,22.96976744,1.951162791,303.1255814,,196.8837209
(5) Badger Creek Lake (Madison),7/10/2018,14:15,4,22.98611111,7.6025,15.375,1.3175,302.05,,196.25
(5) Badger Creek Lake (Madison),7/10/2018,14:15,4.5,21.62048193,7.420843373,13.0060241,1.142650602,323.6048193,,210.373494
(6) Badger Lake (Webster),6/26/2018,12:55,0,20.97435897,7.689076923,86.32923077,7.672615385,476.4953846,,309.6615385
(6) Badger Lake (Webster),6/26/2018,12:55,1,19.81196581,7.623333333,77.89230769,7.091538462,535.8487179,,348.2564103
(6) Badger Lake (Webster),6/26/2018,12:55,1.5,19.24603175,7.580571429,70.9,6.532285714,540.8342857,,351.5428571
(6) Badger Lake (Webster),6/26/2018,12:55,2.5,18.9379085,7.547058824,64.83529412,6.008823529,545.4764706,,354.5882353
(6) Badger Lake (Webster),6/26/2018,12:55,3,18.52160494,7.512777778,54.93611111,5.131388889,547.6638889,,356.0277778
(6) Badger Lake (Webster),6/26/2018,12:55,3.5,17.84848485,7.410454545,33.84090909,3.206363636,549.4318182,,356.9090909
(6) Badger Lake (Webster),6/26/2018,12:55,4.5,15.66942324,7.046450382,10.86412214,1.074351145,550.7541985,,358.019084
