Lake,Date,Time,Depth (m),Temperature (Deg C),pH,DO (% Saturation),DO (mg/L),Specific Conductivity (uS/cm),Turbidity (NTU),TDS (mg/L)
Arbor Lake,6/19/2019,13:22,0,23.15,8.28,131.15,11.21,555.01,8.4,360.88
Arbor Lake,6/19/2019,13:22,0.5,23.17,8.26,147.57,12.6,560.79,10.14,364.57
Arbor Lake,6/19/2019,13:22,1,23.04,8.01,137.28,11.74,564.84,10.96,367.11
Arbor Lake,6/19/2019,13:22,1.5,22.19,7.63,69.39,6.02,576.75,11.45,374.92
Arbor Lake,6/19/2019,13:22,2,21.41,7.5,33.89,2.99,582.08,11.43,378.25
Arbor Lake,6/19/2019,13:22,2.5,18.35,7.44,18.78,1.75,614.5,11.03,399.33
Arbor Lake,6/19/2019,13:22,3,15.38,7.32,10.82,1.07,676.05,10.34,439.27
Arbor Lake,6/19/2019,13:22,3.5,13.07,7.18,7.68,0.8,1011.23,11.05,657.36
Arbor Lake,6/19/2019,13:22,4,11.59,6.87,4.91,0.53,2590.04,14.83,1683.46
Arbor Lake,6/19/2019,13:22,4.5,10.3,6.52,3.35,0.37,4563.81,15.32,2966.55
Arrowhead Pond,6/10/2019,7:20,0,21.6,7.77,90.75,7.98,577.28,1.54,375.13
Arrowhead Pond,6/10/2019,7:20,0.5,21.59,7.78,88.73,7.81,578.14,1.5,375.89
Arrowhead Pond,6/10/2019,7:20,1,21.64,7.78,87.15,7.66,579.37,1.47,376.67
Arrowhead Pond,6/10/2019,7:20,1.5,21.67,7.79,86.3,7.58,580.04,1.47,377
Arrowhead Pond,6/10/2019,7:20,2,21.62,7.8,84.98,7.47,580.68,1.44,377.25
Arrowhead Pond,6/10/2019,7:20,2.5,21.29,7.7,69.49,6.15,584.26,1.52,379.63
Arrowhead Pond,6/10/2019,7:20,3,19.72,7.61,45.34,4.13,596.6,2.15,387.67
Arrowhead Pond,6/10/2019,7:20,3.5,18.4,7.46,20.25,1.89,592.29,4.38,384.93
Arrowhead Lake,6/10/2019,7:20,0,16.78,8.15,100.17,9.72,500.01,1.18,325.18
Arrowhead Lake,6/10/2019,7:20,0.5,16.79,8.14,100.16,9.71,494.72,1.17,321.7
Arrowhead Lake,6/10/2019,7:20,1,16.83,8.13,100.33,9.72,479.13,1.06,311.5
Arrowhead Lake,6/10/2019,7:20,1.5,16.83,8.13,100.4,9.73,502.74,1,326.79
Arrowhead Lake,6/10/2019,7:20,2,16.83,8.13,100.4,9.73,493.13,1.11,320.59
Arrowhead Lake,6/10/2019,7:20,2.5,16.75,8.11,100.05,9.7,498.56,1.02,324.2
Arrowhead Lake,6/10/2019,7:20,3,14.72,7.94,95.04,9.62,504.59,1.67,328
Arrowhead Lake,6/10/2019,7:20,3.5,14.31,7.9,87.28,8.92,500.25,2.12,325.15
Arrowhead Lake,6/10/2019,7:20,4,13.89,7.84,78.28,8.07,505.32,2.53,328.43
Arrowhead Lake,6/10/2019,7:20,4.5,13.71,7.78,72.6,7.52,515.41,2.53,335
Arrowhead Lake,6/10/2019,7:20,5,13.59,7.73,65.64,6.82,499.31,2.59,324.43
Arrowhead Lake,6/10/2019,7:20,5.5,13.43,7.66,56.01,5.84,502.78,3.82,326.73
Avenue of the Saints Pond,5/20/2019,10:52,0,22.28,8.28,110.15,9.58,185.25,11.73,120.5
Avenue of the Saints Pond,5/20/2019,10:52,0.5,22.28,8.27,111.37,9.68,183.92,9.5,119.5
Avenue of the Saints Pond,5/20/2019,10:52,1,22.28,8.25,112.91,9.82,182.56,8.85,118.57
Avenue of the Saints Pond,5/20/2019,10:52,1.5,22.28,8.18,113.3,9.85,181.76,8.77,118
Avenue of the Saints Pond,5/20/2019,10:52,2,22.2,7.95,109.35,9.52,181.72,8.51,118
Avenue of the Saints Pond,5/20/2019,10:52,2.5,21.88,7.68,92.04,8.06,182.26,7.97,118.44
Avenue of the Saints Pond,5/20/2019,10:52,3,21.27,7.41,67.4,5.97,183.86,7.42,119.44
Avenue of the Saints Pond,5/20/2019,10:52,3.5,20.73,7.21,41.53,3.72,185.91,7.3,120.78
Avenue of the Saints Pond,5/20/2019,10:52,4,20.27,7.14,23.03,2.08,188.05,7.52,122.3
Avenue of the Saints Pond,5/20/2019,10:52,4.5,18.49,7.01,13.26,1.24,195.82,5.9,127.3
Avenue of the Saints Pond,5/20/2019,10:52,5,16.73,6.87,8.67,0.84,207.03,4.41,134.71
Avenue of the Saints Pond,5/20/2019,10:52,5.5,15.23,6.69,7.3,0.73,226.31,4.13,147.14
Avenue of the Saints Pond,5/20/2019,10:52,6,14.5,6.64,6.17,0.63,245.33,4.28,159.67
Badger Creek Lake,6/26/2019,8:00,0,22.8,8.54,129.66,11.15,307.2,14.15,199.71
Badger Creek Lake,6/26/2019,8:00,0.5,22.52,8.55,138.36,11.96,321.53,11.38,209.11
Badger Creek Lake,6/26/2019,8:00,1,21.78,8.37,131.3,11.48,324.64,11.75,211
Badger Creek Lake,6/26/2019,8:00,1.5,19.85,8.09,107.46,9.78,336.14,13.6,218.38
Badger Creek Lake,6/26/2019,8:00,2,19.43,7.88,82.27,7.56,335.78,16.44,218.23
Badger Creek Lake,6/26/2019,8:00,2.5,18.31,7.79,65.74,6.16,340.56,18.14,221.2
Badger Creek Lake,6/26/2019,8:00,3,17.08,7.68,51.68,4.98,339.12,30.58,220.4
Badger Creek Lake,6/26/2019,8:00,3.5,16.9,7.61,39.06,3.78,318.74,34.48,207.22
Badger Creek Lake,6/26/2019,8:00,4,16.53,7.59,32.05,3.12,305.55,36.88,198.5
Badger Creek Lake,6/26/2019,8:00,4.5,16.01,7.54,27.56,2.71,293.31,41.27,190.64
Badger Creek Lake,6/26/2019,8:00,5,15.51,7.44,20.4,2.03,286.16,46.15,186
Badger Creek Lake,6/26/2019,8:00,5.5,15.28,7.42,14.05,1.41,286,47.8,186
Badger Lake,6/5/2019,11:20,0,12.99,7.85,100.74,10.6,475.78,15.33,309.25
Badger Lake,6/5/2019,11:20,0.5,12.44,7.83,100.4,10.68,659.78,25.41,428.93
Badger Lake,6/5/2019,11:20,1,11.78,7.81,99.17,10.72,657.29,32.8,427.27
Badger Lake,6/5/2019,11:20,1.5,11.1,7.79,97.04,10.65,636.06,41.12,413.36
Badger Lake,6/5/2019,11:20,2,10.76,7.78,95.95,10.62,641.98,39.64,417.25
Badger Lake,6/5/2019,11:20,2.5,10.33,7.77,94.77,10.59,665.67,36.02,432.73
Badger Lake,6/5/2019,11:20,3,9.96,7.75,92.3,10.41,663.03,52.13,430.92
Badger Lake,6/5/2019,11:20,3.5,9.75,7.72,89.39,10.13,643.26,67.19,418
Badger Lake,6/5/2019,11:20,4,9.67,7.71,86.96,9.87,660.09,70.49,429
Badger Lake,6/5/2019,11:20,4.5,9.63,7.69,85.5,9.72,677.41,112.93,440.38
