badNames,Lake,DATE,TIME,Depth (m),Temperature (Deg C),pH,DO (% Saturation),DO (mg/L),Specific Conductivity (uS/cm),Turbidity (NTU),TDS (mg/L)
(1) Arbor Lake (Poweshiek),Arbor Lake,9/18/2019,10:42:00 AM,0,24.74,8.33,109.03,9.04,503.17,20.68,326.9
(1) Arbor Lake (Poweshiek),Arbor Lake,9/18/2019,10:42:00 AM,0.5,24.3,8.31,105.94,8.85,514.57,23.87,334.43
(1) Arbor Lake (Poweshiek),Arbor Lake,9/18/2019,10:42:00 AM,1,23.84,8.16,92.43,7.79,516.65,19.23,336
(1) Arbor Lake (Poweshiek),Arbor Lake,9/18/2019,10:42:00 AM,1.5,23.47,8.01,76.16,6.46,517.96,16.14,336.63
(1) Arbor Lake (Poweshiek),Arbor Lake,9/18/2019,10:42:00 AM,2,22.91,7.89,52.37,4.49,519.19,14.79,337.5
(1) Arbor Lake (Poweshiek),Arbor Lake,9/18/2019,10:42:00 AM,2.5,22.31,7.77,30.21,2.62,518.58,15.27,337
(1) Arbor Lake (Poweshiek),Arbor Lake,9/18/2019,10:42:00 AM,3,21.84,7.69,16.43,1.44,518.82,18.17,337.22
(1) Arbor Lake (Poweshiek),Arbor Lake,9/18/2019,10:42:00 AM,3.5,21.44,7.55,10.28,0.91,522.43,19.35,339.67
(1) Arbor Lake (Poweshiek),Arbor Lake,9/18/2019,10:42:00 AM,4,20.4,7.37,8.71,0.78,576.41,17.95,374.57
(1) Arbor Lake (Poweshiek),Arbor Lake,9/18/2019,10:42:00 AM,4.5,18.97,7.03,6.93,0.64,747.64,26.03,485.9
(2) Arrowhead Pond (Pottawattamie),Arrowhead Pond,9/10/2019,3:50:00 PM,0,24.91,8.46,154.96,12.81,454.66,14.75,295.56
(2) Arrowhead Pond (Pottawattamie),Arrowhead Pond,9/10/2019,3:50:00 PM,0.5,24.57,8.45,165.65,13.77,461.82,16.78,300.17
(2) Arrowhead Pond (Pottawattamie),Arrowhead Pond,9/10/2019,3:50:00 PM,1,23.93,8.3,144.61,12.16,466.39,13.82,303.29
(2) Arrowhead Pond (Pottawattamie),Arrowhead Pond,9/10/2019,3:50:00 PM,1.5,23.25,8.21,124.85,10.63,470.6,13.03,305.83
(2) Arrowhead Pond (Pottawattamie),Arrowhead Pond,9/10/2019,3:50:00 PM,2,22.81,8.06,103.85,8.93,474.7,12.02,308.63
(2) Arrowhead Pond (Pottawattamie),Arrowhead Pond,9/10/2019,3:50:00 PM,2.5,22.52,7.95,84.1,7.27,480.1,10.47,312
(2) Arrowhead Pond (Pottawattamie),Arrowhead Pond,9/10/2019,3:50:00 PM,3,22.34,7.75,57.93,5.02,488.23,8.51,317.5
(2) Arrowhead Pond (Pottawattamie),Arrowhead Pond,9/10/2019,3:50:00 PM,3.5,22.14,7.67,41.88,3.65,497.46,7.31,323.2
(2) Arrowhead Pond (Pottawattamie),Arrowhead Pond,9/10/2019,3:50:00 PM,4,21.94,7.49,28.48,2.49,507.38,12.45,329.67
(3) Arrowhead Lake (Sac),Arrowhead Lake,8/19/2019,9:21:00 AM,0,24.94,8.18,89.39,7.39,488.7,4.95,317.57
(3) Arrowhead Lake (Sac),Arrowhead Lake,8/19/2019,9:21:00 AM,0.5,24.98,8.12,85.77,7.08,489.71,2.35,318.09
(3) Arrowhead Lake (Sac),Arrowhead Lake,8/19/2019,9:21:00 AM,1,25,8.1,83.61,6.9,490.26,1.87,319
(3) Arrowhead Lake (Sac),Arrowhead Lake,8/19/2019,9:21:00 AM,1.5,25,8.08,82.75,6.83,490.31,1.91,319
(3) Arrowhead Lake (Sac),Arrowhead Lake,8/19/2019,9:21:00 AM,2,25,8.07,81.16,6.7,490.51,1.95,319
(3) Arrowhead Lake (Sac),Arrowhead Lake,8/19/2019,9:21:00 AM,2.5,25,8.05,79.89,6.59,490.7,1.9,319
(3) Arrowhead Lake (Sac),Arrowhead Lake,8/19/2019,9:21:00 AM,3,25,8.05,79.39,6.55,490.72,1.9,319
(3) Arrowhead Lake (Sac),Arrowhead Lake,8/19/2019,9:21:00 AM,3.5,24.98,8.04,79.45,6.56,490.85,2.06,319
(3) Arrowhead Lake (Sac),Arrowhead Lake,8/19/2019,9:21:00 AM,4,24.94,7.95,66.7,5.51,491.6,2.24,319.43
(3) Arrowhead Lake (Sac),Arrowhead Lake,8/19/2019,9:21:00 AM,4.5,24.85,7.77,39.94,3.3,494.55,2.38,321.5
(3) Arrowhead Lake (Sac),Arrowhead Lake,8/19/2019,9:21:00 AM,5,23.46,7.54,13.46,1.14,512.3,4.13,333
(3) Arrowhead Lake (Sac),Arrowhead Lake,8/19/2019,9:21:00 AM,5.5,21.17,7.2,8.15,0.72,550.01,8.7,357.55
(4) Avenue of the Saints Pond (Bremer),Avenue of the Saints Pond,9/25/2019,1:41:00 PM,0,21.72,7.73,83.37,7.33,168.45,13.84,109.33
(4) Avenue of the Saints Pond (Bremer),Avenue of the Saints Pond,9/25/2019,1:41:00 PM,0.5,21.87,7.67,72.25,6.33,200.05,15.06,130
(4) Avenue of the Saints Pond (Bremer),Avenue of the Saints Pond,9/25/2019,1:41:00 PM,1,21.89,7.64,66.98,5.87,199.95,13,130
(4) Avenue of the Saints Pond (Bremer),Avenue of the Saints Pond,9/25/2019,1:41:00 PM,1.5,21.89,7.62,63.95,5.6,199.9,12.34,130
(4) Avenue of the Saints Pond (Bremer),Avenue of the Saints Pond,9/25/2019,1:41:00 PM,2,21.89,7.58,60.07,5.26,199.9,12.3,130
(4) Avenue of the Saints Pond (Bremer),Avenue of the Saints Pond,9/25/2019,1:41:00 PM,2.5,21.89,7.54,59.07,5.17,199.89,12.07,130
(4) Avenue of the Saints Pond (Bremer),Avenue of the Saints Pond,9/25/2019,1:41:00 PM,3,21.89,7.51,58.02,5.08,199.8,12.25,130
(4) Avenue of the Saints Pond (Bremer),Avenue of the Saints Pond,9/25/2019,1:41:00 PM,3.5,21.89,7.5,57.35,5.02,199.84,12.17,130
(4) Avenue of the Saints Pond (Bremer),Avenue of the Saints Pond,9/25/2019,1:41:00 PM,4,21.8,7.48,51.56,4.52,200.93,12.56,130.57
(4) Avenue of the Saints Pond (Bremer),Avenue of the Saints Pond,9/25/2019,1:41:00 PM,4.5,21.58,7.33,39.59,3.49,205.67,14.29,133.71
(4) Avenue of the Saints Pond (Bremer),Avenue of the Saints Pond,9/25/2019,1:41:00 PM,5,20.25,7.12,26.5,2.4,220.9,16.31,143.5
(5) Badger Creek Lake (Madison),Badger Creek Lake,8/27/2019,4:55:00 PM,0,23.68,8.37,99.85,8.45,241.57,30.78,157
(5) Badger Creek Lake (Madison),Badger Creek Lake,8/27/2019,4:55:00 PM,0.5,23.72,8.43,99.38,8.41,241.59,29.19,157
(5) Badger Creek Lake (Madison),Badger Creek Lake,8/27/2019,4:55:00 PM,1,23.72,8.46,98.9,8.37,241.67,28.94,157
(5) Badger Creek Lake (Madison),Badger Creek Lake,8/27/2019,4:55:00 PM,1.5,23.72,8.47,98.45,8.33,241.78,30.96,157
(5) Badger Creek Lake (Madison),Badger Creek Lake,8/27/2019,4:55:00 PM,2,23.72,8.49,98.3,8.31,241.8,30.9,157
(5) Badger Creek Lake (Madison),Badger Creek Lake,8/27/2019,4:55:00 PM,2.5,23.72,8.49,98.32,8.31,241.8,30.87,157
(5) Badger Creek Lake (Madison),Badger Creek Lake,8/27/2019,4:55:00 PM,3,23.72,8.49,98.18,8.3,241.86,28.42,157
(5) Badger Creek Lake (Madison),Badger Creek Lake,8/27/2019,4:55:00 PM,3.5,23.72,8.51,97.98,8.28,241.9,29.97,157
(5) Badger Creek Lake (Madison),Badger Creek Lake,8/27/2019,4:55:00 PM,4,23.72,8.52,97.9,8.28,241.9,29.75,157
(5) Badger Creek Lake (Madison),Badger Creek Lake,8/27/2019,4:55:00 PM,4.5,23.72,8.52,97.36,8.23,241.96,30.43,157
(5) Badger Creek Lake (Madison),Badger Creek Lake,8/27/2019,4:55:00 PM,5,23.72,8.53,97.1,8.21,241.9,27.73,157
(6) Badger Lake (Webster),Badger Lake,8/20/2019,9:20:00 AM,0,24.9,8.67,127.28,10.53,395.18,3.98,257
(6) Badger Lake (Webster),Badger Lake,8/20/2019,9:20:00 AM,0.5,24.94,8.69,129.52,10.71,395.35,5.26,257
(6) Badger Lake (Webster),Badger Lake,8/20/2019,9:20:00 AM,1,24.94,8.71,130.2,10.76,395.6,5.3,257
(6) Badger Lake (Webster),Badger Lake,8/20/2019,9:20:00 AM,1.5,24.93,8.63,124.85,10.32,396.23,5.1,257.5
(6) Badger Lake (Webster),Badger Lake,8/20/2019,9:20:00 AM,2,24.78,8.45,110.29,9.14,398.36,4.58,258.86
(6) Badger Lake (Webster),Badger Lake,8/20/2019,9:20:00 AM,2.5,24.35,7.94,45.98,3.83,426.08,6.99,276.88
(6) Badger Lake (Webster),Badger Lake,8/20/2019,9:20:00 AM,3,23.27,7.61,18,1.53,521.52,12.11,339
(6) Badger Lake (Webster),Badger Lake,8/20/2019,9:20:00 AM,3.5,21.5,7.38,11.78,1.03,619.98,14.98,403
(6) Badger Lake (Webster),Badger Lake,8/20/2019,9:20:00 AM,4,18.79,7.14,7.15,0.67,764.62,14.97,497.17
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,0,21.49,7.8,95.05,8.42,103.38,9.97,67.17
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,0.5,23.18,8.06,80.98,6.92,232.5,8.49,151
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,1,23.22,8.12,78.32,6.69,232.22,8.12,151
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,1.5,23.22,8.14,76.4,6.52,232.31,8.06,151
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,2,23.22,8.17,74.08,6.32,232.5,7.93,151
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,2.5,23.26,8.2,72.75,6.21,232.63,7.56,151
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,3,23.28,8.22,72.05,6.15,232.7,7.68,151
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,3.5,23.17,8,54.72,4.67,234.74,6.87,152.55
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,4,22.7,7.7,18.63,1.6,243.92,3.96,158.53
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,4.5,22.42,7.57,11.04,0.96,248,3.89,161.2
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,5,21.94,7.38,9.47,0.83,255.77,4.39,166.33
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,5.5,19.81,7.15,7.34,0.67,323.18,4.65,210
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,6,17.74,7.06,5.63,0.53,365.33,4.35,237.33
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,6.5,16.08,7.01,4.29,0.42,381.31,3.97,248
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,7,13.97,6.98,3.5,0.36,398.04,4.07,258.8
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,7.5,13.26,6.94,2.78,0.29,400.97,4.26,260.82
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,8,11.68,6.9,2.24,0.24,417.99,4.44,271.57
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,8.5,10.96,6.88,2,0.22,433.2,4.74,281.5
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,9,10.69,6.86,1.83,0.2,445.88,4.95,289.75
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,9.5,10.49,6.73,1.65,0.19,462.53,6.17,300.75
(7) Beaver Lake (Dallas),Beaver Lake,9/8/2019,8:45:00 AM,10,10.04,6.64,1.41,0.16,510.24,27.53,331.63
(8) Beeds Lake (Franklin),Beeds Lake,9/22/2019,11:55:00 AM,0,22.57,8.23,96.16,8.31,453.73,11.09,294.85
(8) Beeds Lake (Franklin),Beeds Lake,9/22/2019,11:55:00 AM,0.5,22.66,8.27,93.53,8.07,455.06,11.21,296
(8) Beeds Lake (Franklin),Beeds Lake,9/22/2019,11:55:00 AM,1,22.71,8.32,92.2,7.94,456.15,11.24,296.64
(8) Beeds Lake (Franklin),Beeds Lake,9/22/2019,11:55:00 AM,1.5,22.72,8.34,91.26,7.86,456.84,10.19,297
(8) Beeds Lake (Franklin),Beeds Lake,9/22/2019,11:55:00 AM,2,22.71,8.28,86.68,7.47,458.18,9.29,297.92
(8) Beeds Lake (Franklin),Beeds Lake,9/22/2019,11:55:00 AM,2.5,21.89,7.93,47.49,4.14,470.67,6.67,305.89
(8) Beeds Lake (Franklin),Beeds Lake,9/22/2019,11:55:00 AM,3,20.9,7.78,21.38,1.91,485.17,4.3,315.33
(8) Beeds Lake (Franklin),Beeds Lake,9/22/2019,11:55:00 AM,3.5,20.49,7.71,11.96,1.07,488.61,3.4,317.6
(8) Beeds Lake (Franklin),Beeds Lake,9/22/2019,11:55:00 AM,4,20.14,7.63,7.61,0.69,494.73,3.78,321.67
(8) Beeds Lake (Franklin),Beeds Lake,9/22/2019,11:55:00 AM,4.5,19.78,7.55,5.24,0.48,505.72,4.16,328.62
(8) Beeds Lake (Franklin),Beeds Lake,9/22/2019,11:55:00 AM,5,19.41,7.42,4.14,0.38,518.97,4.82,337.45
(8) Beeds Lake (Franklin),Beeds Lake,9/22/2019,11:55:00 AM,5.5,19.06,7.31,3.5,0.33,534.64,5.5,347.38
(8) Beeds Lake (Franklin),Beeds Lake,9/22/2019,11:55:00 AM,6,17.45,6.95,2.86,0.27,647.95,9.75,421.24
(8) Beeds Lake (Franklin),Beeds Lake,9/22/2019,11:55:00 AM,6.5,16.72,6.81,2.57,0.25,744.4,14.81,484
(9) Big Creek Lake (Polk),Big Creek Lake,8/20/2019,4:20:00 PM,0,28.32,8.55,112.5,8.71,392.58,3.51,255
(9) Big Creek Lake (Polk),Big Creek Lake,8/20/2019,4:20:00 PM,0.5,26.53,8.57,120.59,9.67,399.26,2.47,259.67
(9) Big Creek Lake (Polk),Big Creek Lake,8/20/2019,4:20:00 PM,1,26.24,8.58,121.33,9.79,391.22,3.07,254.33
(9) Big Creek Lake (Polk),Big Creek Lake,8/20/2019,4:20:00 PM,1.5,25.88,8.45,107.2,8.7,388.57,3.23,252.67
(9) Big Creek Lake (Polk),Big Creek Lake,8/20/2019,4:20:00 PM,2,25.39,8.36,93.82,7.68,390.98,3.14,254.17
(9) Big Creek Lake (Polk),Big Creek Lake,8/20/2019,4:20:00 PM,2.5,25.17,8.17,73.24,6.03,393.7,3.06,255.89
(9) Big Creek Lake (Polk),Big Creek Lake,8/20/2019,4:20:00 PM,3,25.07,8.09,56.12,4.63,395.88,3.01,257.4
(9) Big Creek Lake (Polk),Big Creek Lake,8/20/2019,4:20:00 PM,3.5,24.99,7.98,47.48,3.92,397.18,3,258
(9) Big Creek Lake (Polk),Big Creek Lake,8/20/2019,4:20:00 PM,4,24.93,7.96,40.03,3.31,398.33,3.01,259
(9) Big Creek Lake (Polk),Big Creek Lake,8/20/2019,4:20:00 PM,4.5,24.85,7.94,32.4,2.68,399.8,3.08,259.67
(9) Big Creek Lake (Polk),Big Creek Lake,8/20/2019,4:20:00 PM,5,24.76,7.91,25.28,2.1,402.44,3.09,261.6
