SampleID,doy,site,tp_mgL
G19041135710,135,7,0.22345
G19041136710,136,7,0.2225
G19041137710,137,7,0.27205
G19041138710,138,7,0.3354
G19041139710,139,7,0.23115
G19041140710,140,7,0.22365
G19041141710,141,7,0.20425
G19041142710,142,7,0.2912
G19041143710,143,7,0.2853
G19041144710,144,7,0.76805
G19041145710,145,7,0.7587
G19041146710,146,7,0.58925
G19041147710,147,7,0.45875
G19041148710,148,7,0.5143
G19041149710,149,7,0.80345
G19041150710,150,7,0.6297
G19041150710,150,7,0.3899
G19041151710,151,7,0.29165
G19041152710,152,7,0.2011
G19041153710,153,7,0.16545
G19041154710,154,7,0.16465
G19041155710,155,7,0.14725
G19041156710,156,7,0.13895
G19041157710,157,7,0.09555
G19041158710,158,7,0.09855
G19041159710,159,7,0.06385
G19041160710,160,7,0.06555
G19041161710,161,7,0.10395
G19041162710,162,7,0.11115
G19041163710,163,7,0.07885
G19041164710,164,7,0.11875
G19041165710,165,7,0.1664
G19041166710,166,7,0.16705
G19041167710,167,7,0.14765
G19041168710,168,7,0.1378
G19041169710,169,7,0.20805
G19041170710,170,7,0.1589
G19041178710,178,7,0.31475
G19041179710,179,7,0.2599
G19041180710,180,7,0.2991
G19041181710,181,7,0.2747
G19041182710,182,7,0.2721
G19041183710,183,7,0.2558
G19041184710,184,7,0.28345
G19041185710,185,7,0.2725
G19041186710,186,7,0.3022
G19041187710,187,7,0.34375
G19041188710,188,7,0.33555
G19041189710,189,7,0.22735
G19041190710,190,7,0.25025
G19041191710,191,7,0.2667
G19041192710,192,7,0.31665
G19041193710,193,7,0.2471
G19041194710,194,7,0.2768
G19041195710,195,7,0.26935
G19041196710,196,7,0.26815
G19041197710,197,7,0.2713
G19041198710,198,7,0.3034
G19041213710,213,7,0.50055
G19041214710,214,7,0.55075
G19041215710,215,7,0.4251
G19041216710,216,7,0.44935
G19041217710,217,7,0.46105
G19041218710,218,7,0.41155
G19041219710,219,7,0.41095
G19041220710,220,7,0.4269
G19041221710,221,7,0.4143
G19041222710,222,7,0.4085
G19041223710,223,7,0.4105
G19041224710,224,7,0.4023
G19041225710,225,7,0.41855
G19041226710,226,7,0.4361
G19041135810,135,8,0.30585
G19041136810,136,8,0.21635
G19041137810,137,8,0.2908
G19041138810,138,8,0.25125
G19041139810,139,8,0.27335
G19041140810,140,8,0.31975
G19041141810,141,8,0.24755
G19041142810,142,8,0.3126
G19041143810,143,8,0.2495
G19041145810,145,8,0.3856
G19041146810,146,8,0.3288
G19041147810,147,8,0.26725
G19041148810,148,8,0.2743
G19041150810,150,8,0.4836
G19041151810,151,8,0.37845
G19041152810,152,8,0.3405
G19041153810,153,8,0.2834
G19041154810,154,8,0.2713
G19041155810,155,8,0.2355
G19041156810,156,8,0.22275
G19041157810,157,8,0.168
G19041158810,158,8,0.13535
G19041159810,159,8,0.1068
G19041160810,160,8,0.10125
G19041161810,161,8,0.07925
G19041162810,162,8,0.0755
G19041163810,163,8,0.0709
G19041165810,165,8,0.19635
G19041166810,166,8,0.1684
G19041167810,167,8,0.1946
G19041168810,168,8,0.17685
G19041178810,178,8,0.28155
G19041179810,179,8,0.24565
G19041180810,180,8,0.22545
G19041181810,181,8,0.24795
G19041182810,182,8,0.24275
G19041183810,183,8,0.20645
G19041184810,184,8,0.19505
G19041185810,185,8,0.1983
G19041186810,186,8,0.2865
G19041187810,187,8,0.3604
G19041188810,188,8,0.21145
G19041189810,189,8,0.23585
G19041190810,190,8,0.30405
G19041191810,191,8,0.30715
G19041192810,192,8,0.3492
G19041193810,193,8,0.3232
G19041194810,194,8,0.3329
G19041195810,195,8,0.3611
G19041196810,196,8,0.1093
G19041197810,197,8,0.4778
G19041198810,198,8,0.46915
G19041213810,213,8,0.8006
G19041214810,214,8,0.77775
G19041215810,215,8,0.8459
G19041216810,216,8,0.89635
G19041217810,217,8,0.63255
G19041218810,218,8,0.58625
G19041219810,219,8,0.50405
G19041220810,220,8,0.5894
G19041221810,221,8,0.90545
G19041222810,222,8,0.61225
G19041223810,223,8,0.54485
G19041224810,224,8,0.55705
G19041225810,225,8,0.48085
G19041226810,226,8,0.5691
