,,,,,,,,,,,,,,Common Carp,,,,,Bigmouth Buffalo,,,,,,,,
,,,,,,,,,,,,,,Population Estimate,,Harvest,,,Population Estimate,,Harvest,,,,,,
lake,year,species,biomass_kgha,bio_CIlow,,bio_CIhigh,,harvest_kgha,harvest_percent,,Lake,Year,Season,kg/ha,95% CI,kg/ha,% Population,,kg/ha,95% CI,kg/ha,% Population,,,,,
center,2017,carp,134.8,54.85980176,-,215,(54-214),0,,,Center,2017,summer,134.8,(54-214),,,,164.3,(115-212),,,,,,,
center,2018,carp,182.7,79.01163066,-,286,(79-286),23,17.1,,Lake,,fall/spring,,,23,17.1%,,,,222,135.1%,,,,,
center,2019,carp,45.4,3.482050063,-,90,(3-89),12,6.6,,,2018,summer,182.7,(79-286),,,,81.3,(35-127),,,,,,,
center,2020,carp,77.1,15.16443104,-,139,(15-139),0,0.0,,,,fall/spring,,,12,6.6%,,,,61,75.0%,,,,,
five island,2018,carp,230.8,17.59061522,-,286,(17-285),15,--,,,2019,summer,45.4,(3-89),,,,67.5,(2-242),,,,,,,
five island,2019,carp,126.6,54.7471804,-,198,(54-198),19,8.2,,,,fall/spring,,,0,0.0%,,,,0,0.0%,,,,,
five island,2020,carp,169.9,101.8499568,-,238,(101-237),0,0.0,,,2020,summer,77.1,(15-139),,,,105.2,(59-151),,,,,,,
north twin,2017,carp,23.6,7.166491893,-,40,(7-39),0,0.0,,,,,,,,,,,,,,,,,,
north twin,2018,carp,63.2,32.17730062,-,94,(32-94),0,0.0,,Five ,2017,summer,NA,NA,,,,NA,NA,,,,,,,
north twin,2019,carp,43.2,17.58146281,-,69,(17-68),17,26.9,,Island,,fall/spring,,,15,NA,,,,17,NA,,,,,
north twin,2020,carp,11.6,0.729047964,-,80,(0-79),13,,,,2018,summer,230.8,(17-285),,,,20.2,(1-39),,,,,,,
silver,2018,carp,91.2,62.55739882,-,120,(62-119),0,,,,,fall/spring,,,19,8.2%,,,,185,915.8%,,,,,
silver,2019,carp,119.5,54.37412155,-,185,(54-184),10,,,,2019,summer,126.6,(54-198),,,,9.7,(0-66),,,,,,,
