year,doy,siteID,lake,site,name,TSS,TFSS
2012,158,22970001,Browns Lake,max depth,Browns Lake,14,NA
2012,130,22970001,Browns Lake,max depth,Browns Lake,16,NA
2012,226,22970001,Browns Lake,max depth,Browns Lake,26,NA
2012,192,22970001,Browns Lake,max depth,Browns Lake,28,NA
2012,255,22970001,Browns Lake,max depth,Browns Lake,35,NA
2012,158,22870003,Windmill Lake,max depth,Windmill Lake,20,NA
2012,130,22870003,Windmill Lake,max depth,Windmill Lake,11,NA
2012,191,22870003,Windmill Lake,max depth,Windmill Lake,18,NA
2012,226,22870003,Windmill Lake,max depth,Windmill Lake,38,NA
2012,254,22870003,Windmill Lake,max depth,Windmill Lake,20,NA
2011,256,22880002,Thayer Lake,max depth,Thayer Lake,9,NA
2011,243,22880002,Thayer Lake,max depth,Thayer Lake,17,NA
2011,132,22880002,Thayer Lake,max depth,Thayer Lake,58,NA
2011,167,22880002,Thayer Lake,max depth,Thayer Lake,14,NA
2011,187,22880002,Thayer Lake,max depth,Thayer Lake,9,NA
2011,229,22880002,Thayer Lake,max depth,Thayer Lake,7,NA
2010,140,22860001,Casey Lake,max depth,Casey Lake,2,1
2010,259,22860001,Casey Lake,max depth,Casey Lake,10,1
2010,229,22860001,Casey Lake,max depth,Casey Lake,13,1
2010,189,22860001,Casey Lake,max depth,Casey Lake,6,1
2010,161,22860001,Casey Lake,max depth,Casey Lake,3,1
2008,262,22820001,Lake of the Hills,max depth,Lake of the Hills,15,4
2008,211,22820001,Lake of the Hills,max depth,Lake of the Hills,8,3
2008,238,22820001,Lake of the Hills,max depth,Lake of the Hills,18,6
2008,177,22820001,Lake of the Hills,max depth,Lake of the Hills,9,4
2008,140,22820001,Lake of the Hills,max depth,Lake of the Hills,9,3
2008,255,22770004,Big Creek,max depth,Big Creek,3,1
2008,227,22770004,Big Creek,max depth,Big Creek,7,1
2008,128,22770004,Big Creek,max depth,Big Creek,2,1
2008,164,22770004,Big Creek,max depth,Big Creek,21,16
2008,184,22770004,Big Creek,max depth,Big Creek,3,2
2012,130,22780003,Lake Manawa,max depth,Lake Manawa,38,NA
2012,158,22780003,Lake Manawa,max depth,Lake Manawa,41,NA
2012,226,22780003,Lake Manawa,max depth,Lake Manawa,42,NA
2012,191,22780003,Lake Manawa,max depth,Lake Manawa,54,NA
2012,254,22780003,Lake Manawa,max depth,Lake Manawa,52,NA
2011,231,22600001,Lake Pahoja,max depth,Lake Pahoja,19,NA
2011,262,22600001,Lake Pahoja,max depth,Lake Pahoja,11,NA
2011,203,22600001,Lake Pahoja,max depth,Lake Pahoja,20,NA
2011,180,22600001,Lake Pahoja,max depth,Lake Pahoja,2,NA
2011,146,22600001,Lake Pahoja,max depth,Lake Pahoja,2,NA
2005,157,22590001,Williamson Pond,max depth,Williamson Pond Max Depth,22,NA
2005,146,22590001,Williamson Pond,max depth,Williamson Pond Max Depth,9,NA
2005,133,22590001,Williamson Pond,max depth,Williamson Pond Max Depth,21,NA
2005,74,22590001,Williamson Pond,max depth,Williamson Pond Max Depth,7,NA
2005,195,22590001,Williamson Pond,max depth,Williamson Pond Max Depth,48,NA
2005,171,22590001,Williamson Pond,max depth,Williamson Pond Max Depth,23,NA
2005,210,22590001,Williamson Pond,max depth,Williamson Pond Max Depth,58,NA
2005,223,22590001,Williamson Pond,max depth,Williamson Pond Max Depth,34,NA
2005,235,22590001,Williamson Pond,max depth,Williamson Pond Max Depth,21,NA
2005,259,22590001,Williamson Pond,max depth,Williamson Pond Max Depth,12,NA
2005,272,22590001,Williamson Pond,max depth,Williamson Pond Max Depth,16,NA
2011,256,22520005,Kent Park Lake,max depth,Kent Park Lake,14,NA
2011,195,22520005,Kent Park Lake,max depth,Kent Park Lake,13,NA
2011,220,22520005,Kent Park Lake,max depth,Kent Park Lake,11,NA
2011,130,22520005,Kent Park Lake,max depth,Kent Park Lake,3,NA
2011,159,22520005,Kent Park Lake,max depth,Kent Park Lake,8,NA
2011,159,22530001,Central Park Lake,max depth,Central Park Lake,18,NA
2011,130,22530001,Central Park Lake,max depth,Central Park Lake,3,NA
2011,195,22530001,Central Park Lake,max depth,Central Park Lake,20,NA
2011,256,22530001,Central Park Lake,max depth,Central Park Lake,25,NA
2011,243,22530001,Central Park Lake,max depth,Central Park Lake,11,NA
2011,228,22530001,Central Park Lake,max depth,Central Park Lake,19,NA
2008,247,22400004,Briggs Woods Lake,max depth,Briggs Woods Lake,4,1
2008,227,22400004,Briggs Woods Lake,max depth,Briggs Woods Lake,7,1
