doy,siteID,depth,temperature,do_sat,do,ph,chl,pc
150,1,0,19.3,107.3,9.89,8.93,18.79,0.66
150,1,0.5,19.3,116,10.69,8.92,24.1,1.16
150,1,1,19.2,117.7,10.88,8.9,25.22,1.31
150,1,1.5,19.1,119.2,11.02,8.88,25.75,1.22
150,1,2,19,115,10.65,8.63,26.75,1.08
150,1,2.5,17.3,102.6,9.84,8.06,12.74,0.84
150,2,0,18.2,107.6,10.15,9.04,15.16,0.54
150,2,0.5,18.8,116.8,10.86,9.05,20.79,0.8
150,2,1,18.9,119.6,11.12,9.06,21.36,0.95
150,2,1.5,18.9,121.3,11.27,9.05,17.87,0.97
150,2,2,18.9,121.8,11.32,9.03,21.74,0.94
150,2,2.5,18.8,121.1,11.27,9,25.04,0.93
150,2,3,18.8,121.1,11.27,9,26.35,0.92
150,2,3.5,18,91.5,8.66,8.12,26.32,0.83
150,3,0,18,105.7,10.01,9.05,13.02,0.45
150,3,0.5,18.7,113,10.54,9.07,20.79,0.83
150,3,1,18.7,114.4,10.65,9.07,16.38,0.91
150,3,1.5,18.7,114.6,10.69,9.06,14.64,0.85
150,3,2,18.5,107.5,10.06,8.87,17.7,0.75
150,3,2.5,18.3,100.6,9.45,8.81,20.12,0.61
150,3,3,18.2,97.4,9.17,8.76,25.86,0.54
150,3,3.5,17.9,78.7,7.46,8.11,21.25,0.47
150,3,4,17.2,60.2,5.79,7.83,13.46,0.39
150,3,4.5,17,51.6,4.99,7.79,11.05,0.36
150,3,5,16.8,48.8,4.73,7.65,11.91,0.35
150,3,5.5,16.7,47,4.57,7.62,8.44,0.35
150,4,0,,,,,,
150,4,0.5,19.2,119.6,11.05,9.22,13.47,0.92
150,4,1,19.2,121.8,11.26,9.21,8.71,0.93
150,4,1.5,19.1,123.7,11.43,9.2,12.26,0.97
150,4,2,19.1,124,11.47,9.19,12.63,0.91
150,4,2.5,19.1,123.3,11.41,9.17,14.6,0.81
150,4,3,18.9,113.3,10.53,8.93,17.58,0.67
150,4,3.5,18.6,98.2,9.17,8.57,25.07,0.57
150,4,4,18.3,85.7,8.06,8.34,27.03,0.54
150,4,4.5,17.9,75.7,7.18,8.14,23.86,0.51
150,4,5,17.7,66.4,6.32,8,20.46,0.49
150,4,5.5,17.2,54.1,5.19,7.92,19.73,0.44
150,4,6,16.8,37.2,3.6,7.74,16.23,0.4
150,4,6.5,16.4,25.6,2.51,7.71,9.64,0.38
150,5,0,18.7,108.1,10.09,9.18,15.6,0.48
150,5,0.5,19,118.1,10.97,9.18,16.32,0.71
150,5,1,19.3,121.2,11.17,9.18,18.33,1.05
150,5,1.5,19.3,122.5,11.29,9.17,16.96,1.24
150,5,2,19.2,123.2,11.37,9.16,16.29,1.15
150,5,2.5,19.1,121.8,11.26,9.13,22.17,1.03
150,5,3,19.1,120.2,11.12,9.09,15.44,0.99
150,5,3.5,19,113.8,10.54,9.04,20.83,0.86
150,5,4,18.9,99.8,9.27,8.54,20.06,0.75
150,5,4.5,17.5,70.5,6.74,8.05,22.76,0.57
150,5,5,17.4,56.1,5.38,7.9,39.5,0.99
150,6,0,19.6,111.2,10.18,9.25,12.9,1.11
150,6,0.5,19.6,124.4,11.38,9.25,17.41,1.4
150,6,1,19.6,130.4,11.94,9.23,15.3,1.42
150,6,1.5,19.6,131.9,12.09,9.22,16.15,1.45
150,6,2,19.5,132.1,12.13,9.17,17.12,1.27
150,6,2.5,19.4,124,11.41,8.98,15.19,1.08
150,6,3,19.2,114.9,10.6,8.9,18.42,0.8
150,6,3.5,19,104.9,9.7,8.69,27.01,0.86
150,6,4,19,97.6,9.06,8.6,19.35,1.07
157,1,0,24.7,158.5,13.17,10.59,2.26,1.12
157,1,0.5,25.2,185.3,15.25,10.63,3.5,4.58
157,1,1,24.9,187.1,15.49,10.61,4.9,1.82
157,1,1.5,22.8,166,14.27,10.56,6.05,1.04
157,1,2,21.3,144.6,12.8,10.51,1.91,0.78
157,1,2.5,20.6,109.6,9.83,10.29,9.84,0.51
157,2,0,25.2,172.2,14.17,10.53,2.22,2.95
157,2,0.5,25.2,195.8,16.12,10.54,3.03,2.84
157,2,1,25,187.1,15.46,10.53,6.61,1.22
157,2,1.5,22.5,167.9,14.52,10.54,5.5,0.94
157,2,2,22,147.3,12.88,10.52,5.2,0.76
157,2,2.5,21.1,125.4,11.14,10.51,7.61,0.45
157,2,3,20.5,109.9,9.87,10.47,10.25,0.38
157,2,3.5,20,91.6,8.32,10.36,12.58,0.39
157,3,0,24.7,166.8,13.86,10.35,1.77,0.82
157,3,0.5,24.6,184.2,15.31,10.36,2.19,1.42
157,3,1,24.3,186.6,15.61,10.37,5.28,1.66
157,3,1.5,22.4,171.9,14.91,10.38,4.25,1.41
157,3,2,22,155.8,13.62,10.36,7.12,0.91
157,3,2.5,21.5,139.6,12.32,10.35,11.71,0.61
157,3,3,21,125,11.14,10.32,9.43,0.52
157,3,3.5,20.3,105.9,9.56,9.92,21.08,0.46
157,3,4,18.3,63.1,5.93,9.58,26.82,0.52
157,3,4.5,18,27.4,2.59,9.5,10.95,0.53
157,3,5,17.6,20.6,1.96,9.47,5.75,0.43
157,3,5.5,17.1,13.4,1.29,9.44,4.92,0.33
157,4,0,24.3,169.9,14.23,10.54,2.63,2.26
157,4,0.5,24.3,194,16.24,10.56,4.06,4.14
157,4,1,24.1,198.9,16.7,10.56,4.02,2.47
157,4,1.5,22.8,191.5,16.48,10.57,3.98,2
157,4,2,22.1,174.5,15.2,10.57,3.85,1.63
157,4,2.5,21.7,149.9,13.17,10.54,7.31,0.98
157,4,3,21,127.7,11.39,10.5,10.31,0.55
157,4,3.5,19.6,110.8,10.13,10.17,20.21,0.55
157,4,4,19.2,79.8,7.37,10.04,20.26,0.53
157,4,4.5,17.9,52.9,5.01,9.75,20.89,0.55
157,4,5,17.3,30.6,2.93,9.75,8.01,0.51
157,4,5.5,17.1,22.6,2.18,9.74,6.68,0.44
157,4,6,16.7,15.6,1.51,9.72,5.71,0.37
157,4,6.5,16.3,12.4,1.21,9.69,5.76,0.28
157,5,0,23.9,157.9,13.3,10.64,1.33,0.59
157,5,0.5,24,179.8,15.12,10.65,2.99,1.16
157,5,1,24.1,195,16.38,10.66,3.68,2.11
157,5,1.5,22.6,186.2,16.1,10.67,4.95,1.97
157,5,2,22.1,170.7,14.87,10.66,5.33,1.56
157,5,2.5,21.9,155,13.56,10.64,5.61,1.1
157,5,3,20,129.7,11.79,10.28,15.42,0.71
157,5,3.5,19.4,95.1,8.74,10.14,21.34,0.51
157,5,4,19,68.5,6.35,10.06,25.16,0.49
157,5,4.5,18.4,43.7,4.09,9.81,49.67,0.75
157,5,5,17.7,17.1,1.63,9.39,89.58,10.25
157,6,0,23.9,164,13.82,10.61,2.53,0.93
157,6,0.5,24,190.6,16.05,10.63,5.54,2.9
157,6,1,24,196.9,16.58,10.63,5.44,3.21
