sampleID,doy,siteID,depthID,nitrate,nitrate_flag,srp,srp_flag,tp,tp_flag,tn,tn_flag,microcystin,microcystin_flag
G19041143110,143,1,1,2.39,,8.55,,,b,,b,1.5825,
G19041143120,143,1,2,2.165,,9.5,,,b,,b,,c
G19041143130,143,1,3,2.445,,9.55,,,b,,b,,c
G19041143140,143,1,4,2.89,,19.3,,,b,,b,,c
G19041143210,143,2,1,,b,,b,,b,,b,,b
G19041143220,143,2,2,,b,,b,,b,,b,,c
G19041143230,143,2,3,,b,,b,,b,,b,,c
G19041143240,143,2,4,,b,,b,,b,,b,,c
G19041143310,143,3,1,,b,,b,,b,,b,,b
G19041143320,143,3,2,,b,,b,,b,,b,,c
G19041143330,143,3,3,,b,,b,,b,,b,,c
G19041143340,143,3,4,,b,,b,,b,,b,,c
G19041143410,143,4,1,0.325,,5.85,,,b,,b,2.694,
G19041143420,143,4,2,0.445,,7.7,,,b,,b,,c
G19041143430,143,4,3,0.175,,7.5,,,b,,b,,c
G19041143440,143,4,4,0.315,,16.15,,,b,,b,,c
G19041143510,143,5,1,,b,,b,,b,,b,,b
G19041143520,143,5,2,,b,,b,,b,,b,,c
G19041143530,143,5,3,,b,,b,,b,,b,,c
G19041143540,143,5,4,,b,,b,,b,,b,,c
G19041143610,143,6,1,1.135,,4.825,,,b,,b,1.431,
G19041143620,143,6,2,1.05,,5.5,,,b,,b,,c
G19041143630,143,6,3,0.86,,5.4,,,b,,b,,c
G19041143640,143,6,4,1.16,,8.3,,,b,,b,,c
G19041150110,150,1,1,2.64,,25.45,,177.4,,6.17125,,6.11,
G19041150120,150,1,2,2.4,,22.65,,,c,,c,,c
G19041150130,150,1,3,2.51,,25.15,,,c,,c,,c
G19041150140,150,1,4,3.04,,51.35,,,c,,c,,c
G19041150210,150,2,1,1.87,,7.15,,119.4,,6.25095,,3.1825,
G19041150220,150,2,2,1.94,,7.15,,,c,,c,,c
G19041150230,150,2,3,2.18,,8,,,c,,c,,c
G19041150240,150,2,4,1.93,,25.9,,,c,,c,,c
G19041150310,150,3,1,1.67,,5.5,,97.5,,5.8348,,3.37,
G19041150320,150,3,2,1.77,,7.1,,,c,,c,,c
G19041150330,150,3,3,2.6,,65.65,,,c,,c,,c
G19041150340,150,3,4,3.54,,133.75,,,c,,c,,c
G19041150410,150,4,1,1.44,,4.4,,81.25,,5.96265,,5.455,
G19041150420,150,4,2,1.39,,2.75,,,c,,c,,c
G19041150430,150,4,3,1.67,,14.85,,,c,,c,,c
G19041150440,150,4,4,1.24,,133.6,,,c,,c,,c
G19041150510,150,5,1,1.52,,5.35,,108.8,,4.4314,,4.9775,
G19041150520,150,5,2,1.55,,5.7,,,c,,c,,c
G19041150530,150,5,3,1.65,,8.05,,,c,,c,,c
G19041150540,150,5,4,2.18,,71.7,,,c,,c,,c
G19041150610,150,6,1,1.75,,5.75,,109.75,,6.79705,,6.855,
G19041150620,150,6,2,1.68,,5,,,c,,c,,c
G19041150630,150,6,3,1.49,,5.7,,,c,,c,,c
