"","name","doyR1","btm_pHR1","btm_do_satR1","btm_tempR1","btm_turbR1","doyR2","btm_pHR2","btm_do_satR2","btm_tempR2","btm_turbR2","doyR3","btm_pHR3","btm_do_satR3","btm_tempR3","btm_turbR3"
"1","Arbor Lake",170,6.52,3.35,10.3,15.32,218,6.43,3.9,14.81,15.03,261,7.03,6.93,18.97,26.03
"2","Arrowhead Pond",161,7.46,20.25,18.4,4.38,211,6.93,7.83,23.62,6.16,253,7.49,28.48,21.94,12.45
"3","Arrowhead Lake",161,7.66,56.01,13.43,3.82,189,7.27,2.13,16.31,13.51,231,7.2,8.15,21.17,8.7
"4","Avenue of the Saints Pond",140,6.64,6.17,14.5,4.28,224,6.58,3.34,15.97,223.78,268,7.12,26.5,20.25,16.31
"5","Badger Creek Lake",177,7.42,14.05,15.28,47.8,198,7.03,2.53,20.05,6.31,239,8.53,97.1,23.72,27.73
"6","Badger Lake",156,7.69,85.5,9.63,112.93,190,7.32,9.03,14,5.68,232,7.14,7.15,18.79,14.97
"7","Beaver Lake",142,7.17,0.21,8.22,17.88,212,6.77,0.94,9.2,14.03,251,6.64,1.41,10.04,27.53
"8","Beeds Lake",162,7.22,9.23,12.13,16.38,225,6.95,3.47,14.44,7.35,265,6.81,2.57,16.72,14.81
"9","Big Creek Lake",177,7.85,29.13,12.11,4.14,190,7.22,0.2,13.56,9.64,232,7.11,1.32,14.28,10.33
"10","Big Spirit Lake",143,8.32,84.65,15.1,2.78,203,8.4,107.46,24.3,7.9,246,8.39,102.98,21.22,10.99
"11","Black Hawk Lake",148,8.12,81.9,16.17,8.1,189,8.44,122.95,27.22,13.26,231,8.48,91.72,24.17,27.45
"12","Blue Lake",140,7.97,73.38,17.98,27.34,189,7.4,7.3,26.06,35.63,231,7.92,52.36,24.65,31.33
"13","Bob White Lake",140,6.91,8.04,16.33,225.18,196,7.3,55.96,26.98,77.05,239,7.5,51.17,22.13,108.28
"14","Briggs Woods Lake",154,6.75,5.06,9.13,0.96,225,6.85,1,9.52,5.47,265,6.7,1.22,9.95,10.86
"15","Browns Lake",177,8.22,79.4,16.54,57.82,189,7.85,72.07,27.33,36.25,231,8.13,78.53,24.63,52.42
"16","Brushy Creek Lake",140,7.26,12.1,4.06,9.2,190,7.35,0.64,4.61,8.59,232,7.47,1.14,5.18,21.32
"17","Carter Lake",142,7.2,-0.15,12.97,8.46,211,7.21,6.54,21.9,13.57,253,6.7,3.9,16.5,22.7
"18","Casey Lake",161,7.27,3.86,14.04,3.2,224,6.79,1.87,14.76,5.4,268,7.04,5.72,18.77,11.73
"19","Center Lake",176,8.27,96.68,16.17,6.88,203,8.06,63.3,24.83,14.68,246,7.83,24.08,21.11,20.44
